name,condition,trending_price_type,trending_price_amount,price,shipping_cost,items_left,watching
Blue Yeti USB Condenser Microphone Professional Recording Mic Silver Cord & Box,Pre-Owned,,,$69.99,,,
Professional Microfone Condenser Microphone Studio Recording Mic Stand,Brand New,,,$10.99,,,
"Professional BOYA USB Conference Condenser Microphone, Office Computer",Brand New,,,$87.07,Free Shipping,,
USB Condenser Microphone Bundle Professional Desktop Cardioid Mic Kit fo,Brand New,,,$24.99,Free Shipping,,
Samson Meteor Condenser Wired - USB Professional Microphone,Open box,,,$60.00,,,
Samson Meteor Condenser Wired - USB Professional Microphone,Pre-Owned,,,$44.00,,,
Blue Microphones Platinum Yeti Professional USB Condenser Microphone ,Brand New,,,$149.00,Free Shipping,,
Samson Go Mic Mobile Professional Handheld Wireless System for Mobile Video,Brand New,,,$199.99,Free Shipping,,
New ListingAudio Tech ATR2100-USB Dynamic Wired Professional Microphone,Open box,,,$40.00,,,
"USB Streaming Podcast PC Microphone, SUDOTACK Professional 96KHZ/24Bit Studio",Brand New,,,$79.03,Free Shipping,,
Behringer C-1U Condenser Cable Professional Microphone,Brand New,,,$59.99,Free Shipping,,
Behringer C-1U Condenser Cable Professional Microphone,Brand New,,,$59.99,Free Shipping,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Brand New,,,$165.00,Free Shipping,,
Yeti Blackout Studio Professional Vocal Recording Package,Brand New,,,$149.99,Free Shipping,Only 1 left!,18 Watching
Tonor Audio Professional Condenser Microphone USB Plug With Stand for Computer,Brand New,,,$12.50,,,
Samson Go Mic Mobile Professional Handheld Wireless System for Mobile Video,Brand New,,,$199.99,Free Shipping,,
Audio Tech AT2020 Condenser Wired Professional Microphone | Brand new | ,Brand New,,,$100.00,,,
ZaxSound Professional USB Microphone Model PS-666.,Open box,,,$39.99,Free Shipping,,
"Usb Streaming Podcast Pc Microphone, Sudotack Professional 192Khz/24Bit Studio C",Brand New,,,$68.99,Free Shipping,,
THRONMAX MDRILL DOME Professional USB Studio Condenser Microphone,Open box,,,$54.99,Free Shipping,Only 1 left!,1 Watching
Microphone Professional USB Condenser Microphone Morr DB-U10,Open box,,,$31.99,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone - Space Grey,Brand New,,,$120.00,,,
(New) SoundTech GN-USB-2 Professional Gooseneck Microphone (Opened Box),Open box,,,$49.00,,,
CAD Audio U1 USB Dynamic Professional Podcast Studio Recording U-1 Microphone,Pre-Owned,,,$9.98,,,
Damn! Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Open box,,,$85.00,,,
Professional Microphone Condensers For Laptop USB Plug + Stand Studio Podcasting,Brand New,,,$34.99,Free Shipping,Only 1 left!,2 Watching
Samson Meteor Condenser Wired - USB Professional Microphone,Open box,,,$49.99,,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Brand New,,,$110.00,,,
"Samson C01U USB Professional Studio Condenser Microphone Mic w/case, USB cable",Pre-Owned,,,$89.95,Free Shipping,,
Condenser Microphone Set Professional BM 800 Microphone USB Audio Adapter 2 0New,Brand New,,,$38.20,Free Shipping,,
"Blue Yeti Professional 4-Pattern USB Microphone for Mac & Windows, Platinum",Brand New,,,$129.99,Free Shipping,,
Razer Seiren Elite Dynamic Professional Streaming Microphone,Brand New,Was,199.99,Tap item to see current priceSee Price,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone Used With Accesories,Pre-Owned,,,$120.00,,,
THRONMAX MDRILL DOME Professional USB Studio Condenser Microphone for Youtube ,Pre-Owned,,,$30.00,,,
USB 2.0 Professional Condenser Sound Rec Mic Holder for Live Broadcast - Black,Brand New,,,$26.55,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone - Midnight Blue,Brand New,,,$150.00,,,
USB Audio Professional Condenser Microphone Mic Studio Recording w Shock Mount,Brand New,,,$19.99,Free Shipping,,
PROFESSIONAL Audio Condenser Microphone Kit Vocal Studio Recording Set Stand USB,Brand New,,,$25.99 to $30.49,Free Shipping,,7+ Watching
Professional USB Condenser Microphone Studio Sound Recording Mic W Stand tripod,Brand New,,,$7.99,Free Shipping,,
Samson Go Mic Mobile Professional Lavalier Mic Wireless System For Mobile Video,Refurbished,,,$179.00,Free Shipping,,
YaeCCC Professional USB Microphone Studio Condenser Recording for Skype Speech,Brand New,,,$25.99,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone - Platinum,Brand New,,,$149.00,Free Shipping,,
New ListingBlue Microphones Yeti Professional USB Condenser Microphone - Space Grey,Pre-Owned,,,$21.70,,,
Blue Yeti Professional studio microphone usb live streaming,Pre-Owned,,,$65.00,,,
"USB Condenser Microphone Bundle, ZY-905 Professional Desktop Cardioid Mic Kit fo",Brand New,,,$25.99,Free Shipping,,
MXL USB009 Condenser Cable Professional Microphone & Pop Filter,Pre-Owned,,,$130.00,,,
Blue Microphones Yeti Professional USB Condenser Microphone,Pre-Owned,,,$69.00,,,
NEW Blue Microphones 0281 Professional Multi-Pattern USB Mic for Recording,Brand New,,,$106.98,,,
CAD Audio u4F Professional USB Dynamic Recording Microphone,Brand New,,,$25.00,Free Shipping,,
KTV Singer Microphones Professional Studio USB Condenser Microphone Mic Sh1eld,Brand New,Was,13.99,$12.45,Free Shipping,,
"Woohchy USB Studio Condenser Boom Microphones Kit,Professional PC Streaming",Brand New,,,$65.67,Free Shipping,,
professional Audio Condenser Microphone Kit Studio Recording Set Stand USB,Brand New,,,$24.80,,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Pre-Owned,,,$99.95,,,
 Mic Condenser Wired - USB Professional Microphone,Brand New,,,$45.00,Free Shipping,,
Marantz Professional MPM-1000U | Studio Condenser USB Microphone for DAW Recordi,Brand New,,,$56.98,Free Shipping,,
Blue Nessie Adaptive USB Professional Condenser Microphone,Pre-Owned,,,$49.00,,,
Blue Microphones Yeti Professional USB Mic with arm and filter,Pre-Owned,,,$75.00,,,
MXL AC-400 PROFESSIONAL SERIES GOOSENECK CONDENSER USB MICROPHONE! ,Brand New,,,$27.95,,,
"For Live Stream ,Rap Microphone Studio Recording AK-70 Professional Studio USB",Brand New,,,$37.99,,,
Snowflake Portable Professional USB Microphone,Pre-Owned,,,$44.99,Free Shipping,,
Senal UB-440 Professional USB Microphone (Mint Condition With Orig Packaging),Open box,,,$120.00,,,
Samson Meteor Condenser Wired - USB Professional Microphone,Open box,,,$54.00,,,
Blue Yeti Professional Multi-Pattern USB Condenser Microphone - Slate,Open box,,,$95.00,Free Shipping,,
NEW! Blue Microphones Yeti USB Slate Microphone For Professional Recording,Open box,,,$99.00,,,
Samson Meteor Large Diaphragm Professional USB Studio Microphone - Silver NEW,Brand New,,,$67.43,Free Shipping,,
New ListingTonor Audio Professional Condenser Microphone USB Plug With Stand for Computer,Open box,,,$4.00,,,
Samson Meteor Condenser Wired - USB Professional Microphone w. 7 ft. cord,Pre-Owned,,,$42.00,Free Shipping,,
